ticker,lookback,threshold,vol_target,vol_window,total_return,cagr,sharpe,max_drawdown,num_trades
SPY,200,0.005,0.15,20,2.6266899569510835,0.1214227727604329,0.8887813274233108,-0.2312640719256478,59
SPY,200,0.0,0.15,20,2.539303512688433,0.11899240781759945,0.8691243775515546,-0.22880643719122307,57
SPY,200,0.01,0.15,20,2.3898069046414543,0.11470495827749438,0.8494490095086555,-0.2640056333204469,60
SPY,50,0.0,0.15,20,2.2881267588365013,0.11168929118031512,0.8434553825174209,-0.23639625221669147,83
SPY,200,0.02,0.15,20,2.2183692824225383,0.1095708642305333,0.825382198134242,-0.22820475288253117,63
SPY,20,0.0,0.15,20,1.915440959204445,0.09985695609927547,0.8142227034671183,-0.18792508246832507,129
SPY,50,0.005,0.15,20,1.9495167578485586,0.10099440182825337,0.7805891618568098,-0.2324406436833153,92
SPY,100,0.0,0.15,20,2.035217199902719,0.10380300460780867,0.7682483371909321,-0.21476692024465993,73
SPY,100,0.005,0.15,20,1.9594919788076064,0.10132510822396101,0.7572835915962384,-0.21528402219688436,72
SPY,100,0.01,0.15,20,1.8221453017675917,0.09667962418087028,0.7313935156631944,-0.22775330217675138,78
SPY,20,0.005,0.15,20,1.484093668082867,0.08430344938836143,0.7244823523876082,-0.178992578924268,137
SPY,50,0.01,0.15,20,1.4875530682027858,0.08443768331251311,0.6754093897360488,-0.2567569196188143,102
SPY,100,0.02,0.15,20,1.466779832967429,0.0836290565846971,0.6586442405035344,-0.30672724058211454,83
SPY,10,0.0,0.15,20,0.8316637078859443,0.05531123091039847,0.5260109073296758,-0.19793473288185337,188
SPY,20,0.02,0.15,20,0.5887180371406386,0.042037732507955505,0.450814111632371,-0.21450831804860504,165
SPY,20,0.01,0.15,20,0.568287471519705,0.04083870667744538,0.4009779362199722,-0.20040835902512255,161
SPY,50,0.02,0.15,20,0.6202046240545778,0.0438583839364215,0.39905463380583706,-0.2732063215629783,125
SPY,10,0.005,0.15,20,0.3914867523140686,0.02982326606939023,0.329337322001543,-0.19537120563908983,212
SPY,5,0.005,0.15,20,0.015434882967049646,0.0013633988165635547,0.06242220332391417,-0.22856578601605904,294
SPY,10,0.01,0.15,20,-0.027398439184180168,-0.002468094876974636,0.02082667879220722,-0.2137312442155671,229
SPY,5,0.0,0.15,20,-0.15484978116938675,-0.014853880002139275,-0.07954399136895211,-0.30753071525282627,290
SPY,5,0.01,0.15,20,-0.2200933027715496,-0.021869015236045564,-0.22481818854644522,-0.3117365799578965,285
SPY,10,0.02,0.15,20,-0.3289480918833094,-0.03486142917418733,-0.4344275137698914,-0.4430280885486034,212
SPY,5,0.02,0.15,20,-0.312076834854208,-0.0327273447021873,-0.552773130934177,-0.3157376394856132,186
