,Total Return,CAGR,Sharpe,Max Drawdown,Trades,lookback,threshold,Trades (closed)
0,-0.5324610485662857,-0.08114227503416871,-0.6489963618113557,-0.6387368952286184,1566,5,0.005,346
1,-0.5197059418233709,-0.0783853078768848,-0.7812076931152625,-0.5835768007028141,1159,5,0.01,268
2,-0.20929865394568659,-0.025800209106144556,-0.4080677869625754,-0.22907077207578175,499,5,0.02,120
3,-0.27175191824440226,-0.03468141053226348,-0.21886515665678954,-0.49342716520154206,1648,10,0.005,294
4,-0.16522727248802616,-0.01990095856372409,-0.13412787617216584,-0.34075320829222044,1319,10,0.01,236
5,-0.3061965106469213,-0.03987353211593847,-0.5149031270008018,-0.3329614114583257,793,10,0.02,163
6,0.2064768447686649,0.02111267860719468,0.22254487664631686,-0.33511119872582573,1724,20,0.005,230
7,-0.06558128070890157,-0.0075216228042476185,0.002688748760872318,-0.40935765537411994,1541,20,0.01,229
8,0.3899388168498745,0.03732890757827678,0.4090170161685787,-0.15108011808105648,1095,20,0.02,177
9,0.8258796899764504,0.0693104016510595,0.5475006176514954,-0.32923142809903616,1749,50,0.005,180
10,0.7273082130042448,0.06272531112080681,0.5167254649418971,-0.30739418816951647,1639,50,0.01,175
11,0.7634811468710216,0.06517974766754753,0.566587598966139,-0.2047244679197615,1411,50,0.02,157
12,1.7444331950345804,0.11893030140076721,0.8554763925215563,-0.20963747049092474,1772,100,0.005,155
13,1.7283018647285173,0.11819632569150706,0.866817855593974,-0.2212427374981567,1710,100,0.01,151
14,1.8628159893746332,0.12420237604495066,0.9397009585728742,-0.1844957785737481,1569,100,0.02,137
15,2.085982631809678,0.13363468591146344,0.9405722654427305,-0.24700751225062667,1784,200,0.005,131
16,2.26150839810943,0.1406365636654734,0.987345131987461,-0.2231359427629932,1761,200,0.01,129
17,2.3932652465410267,0.14567569441015094,1.0311027421090113,-0.18208210590633755,1698,200,0.02,119
